gene_1,gene_2,r,gene_1_category,gene_2_category
Os03g0313600,Os05g0403300,0.9279612517058604,Mechano sensing gene,Mechano sensing gene
Os05g0149400,Os11g0593000,0.927829417347527,Ethyelene signalling gene,Mechano sensing gene
Os03g0302900,Os08g0420600,0.9278043272777088,Cell wall responsive gene,Mechano sensing gene
Os02g0743400,Os11g0539200,0.9274234233522234,Auxin responsive gene,Cell wall responsive gene
Os06g0232300,Os11g0539200,0.9271010650517977,Auxin responsive gene,Cell wall responsive gene
Os03g0810800,Os03g0742900,0.9269736773678792,ABA repsonsive gene,Auxin responsive gene
Os12g0601400,Os03g0302900,0.9269575265887656,Auxin responsive gene,Cell wall responsive gene
Os01g0853400,Os10g0556100,-0.926771507635157,Jasmonate responsive gene,Cell wall responsive gene
Os05g0210100,Os11g0137000,0.9265848362810601,Ethyelene signalling gene,Auxin responsive gene
Os03g0324300,Os10g0556100,-0.9262443084675088,Ethyelene signalling gene,Cell wall responsive gene
Os01g0856500,Os03g0633500,0.9261621897716841,Auxin responsive gene,Auxin responsive gene
Os04g0397000,Os03g0302900,0.9259105575576521,Jasmonate responsive gene,Cell wall responsive gene
Os12g0133800,Os03g0157300,0.9255995534699011,Auxin responsive gene,Mechano sensing gene
Os03g0633800,Os03g0633500,0.925557901658433,Auxin responsive gene,Auxin responsive gene
Os06g0335500,Os03g0438100,0.9253220242893027,Auxin responsive gene,Jasmonate responsive gene
Os03g0633500,Os03g0157300,0.9252458240715732,Auxin responsive gene,Mechano sensing gene
Os06g0654300,Os06g0232300,0.9251091432895756,Ethyelene signalling gene,Auxin responsive gene
Os01g0867300,Os08g0109400,0.924568741649363,ABA repsonsive gene,Auxin responsive gene
Os06g0335500,Os04g0397000,0.9245007904574566,Auxin responsive gene,Jasmonate responsive gene
Os01g0856500,Os06g0597000,0.9239620903362584,Auxin responsive gene,Auxin responsive gene
Os03g0324300,Os02g0766700,0.9235664442776899,Ethyelene signalling gene,ABA repsonsive gene
Os01g0856500,Os11g0539200,0.9232582820044356,Auxin responsive gene,Cell wall responsive gene
Os03g0324300,Os12g0133800,-0.9232468286524815,Ethyelene signalling gene,Auxin responsive gene
Os04g0671900,Os06g0614100,-0.9232285155097247,Auxin responsive gene,Mechano sensing gene
Os05g0210100,Os12g0133800,0.9224509374215027,Ethyelene signalling gene,Auxin responsive gene
Os02g0743400,Os03g0319400,0.922403314526008,Auxin responsive gene,Mechano sensing gene
Os06g0654300,Os02g0743400,0.9222972848789361,Ethyelene signalling gene,Auxin responsive gene
