gene_id,category,Dharia_log2FC,Dharia_padj,PTT1_log2FC,PTT1_padj,Dharia_sig,PTT1_sig
Os05g0457200,ABA repsonsive gene,0.740528096310606,0.786289149531928,-0.0650007399445985,0.963018361271163,False,False
Os03g0610900,ABA repsonsive gene,-0.0077325574535936,1.0,1.66932248003245,2.22851789063728e-08,False,True
Os07g0154100,ABA repsonsive gene,1.95436017268275,0.58550397382911,6.70083127758317,0.0001801429164379,False,True
Os01g0656200,ABA repsonsive gene,-0.152349868984554,0.961727811088207,-1.2445772721707,0.0049144468167683,False,True
Os06g0562200,ABA repsonsive gene,-0.204443200099887,0.933120375367332,-2.22858084953108,9.59151092623239e-08,False,True
Os10g0573400,ABA repsonsive gene,-0.519226021502883,0.503449008678484,-1.27379993063748,1.36190228653325e-05,False,True
Os03g0810800,ABA repsonsive gene,-0.503823006472594,0.31964935696305,-0.666146986742084,0.0031189167264717,False,True
Os03g0297600,ABA repsonsive gene,0.236537272305803,0.578642214380661,-0.905166415278604,1.0619027122573801e-09,False,True
Os05g0572700,ABA repsonsive gene,1.36870346973936,,-1.1304570384785,0.376162779712841,False,False
Os07g0281700,ABA repsonsive gene,-1.3185286502898,0.0294657233092511,-0.61021455043499,0.0933646948237454,True,True
Os09g0325700,ABA repsonsive gene,0.571395534406222,0.780013523307655,0.761358720231165,0.192228492653415,False,False
Os01g0846300,ABA repsonsive gene,0.128896875591746,0.902373956662584,0.644397173628096,0.0026643094505109,False,True
Os12g0617400,ABA repsonsive gene,1.65568774160769,0.500597256729699,2.93894497918276,0.0010886584818525,False,True
Os07g0622000,ABA repsonsive gene,-0.111976555228455,0.874156950586786,-0.468411996717141,0.0033928793096648,False,True
Os02g0799000,ABA repsonsive gene,-0.204834832286303,0.693662808091732,-0.0052444605292218,0.998549376600374,False,False
Os12g0586100,ABA repsonsive gene,-0.0291710677065564,0.998466295447212,0.378270397764624,0.108764074973483,False,False
Os03g0764800,ABA repsonsive gene,-0.167233900027037,0.5254150636538,-0.241876090801981,0.0158711870501205,False,True
Os06g0211200,ABA repsonsive gene,-0.185032567938307,0.846411507494723,0.011661584554756,0.986291211550863,False,False
Os08g0109400,Auxin responsive gene,0.826006578405622,0.0619347109150298,1.38592146657668,6.01137564809289e-09,True,True
Os01g0178500,Auxin responsive gene,0.200621347844371,0.614116850389737,0.482244059173416,0.0003938263935946,False,True
Os01g0190300,Auxin responsive gene,1.09419847528608,0.0144688539144661,1.21873902428326,2.79737554415222e-06,True,True
Os12g0479400,Auxin responsive gene,0.488528407489136,0.342898271678349,0.644847001837791,0.0044049287259488,False,True
Os03g0162000,Auxin responsive gene,0.0529765981840746,0.983807728748465,1.03619005877901,6.29297845799521e-06,False,True
Os11g0523800,Auxin responsive gene,0.166653292473533,0.581889293936443,0.591514639108504,2.41617684075773e-08,False,True
Os06g0166500,Auxin responsive gene,0.402922648715893,0.549866991735743,1.68562567142132,1.89600882273135e-12,False,True
Os01g0286900,Auxin responsive gene,0.0913240322699459,0.980469466462194,0.725332394617359,0.0510846285909126,False,True
Os02g0512000,Auxin responsive gene,0.196670719164284,0.846411507494723,1.06299433385531,1.06483004206589e-05,False,True
Os05g0523300,Auxin responsive gene,-0.0296076835835564,0.994082291518724,-0.121598805998933,0.587350738422077,False,False
Os01g0741900,Auxin responsive gene,0.0488974592955548,0.963034687031851,-0.121673618077845,0.451922781169675,False,False
Os08g0529000,Auxin responsive gene,0.0,1.0,1.08870951665273,0.572338453363865,False,False
Os07g0684900,Auxin responsive gene,-1.43671544688024,0.165355586463285,-0.0188101188096584,0.995709726331011,False,False
Os01g0643300,Auxin responsive gene,-0.737907102812123,,-0.612851589143865,0.798644993573241,False,False
Os01g0273800,Auxin responsive gene,-0.0182769462543491,1.0,-2.22745735285342,3.63466071456992e-06,False,True
Os06g0657500,Auxin responsive gene,0.323835100342852,0.875000677055835,-2.11031745654114,3.44548137574574e-06,False,True
Os12g0613700,Auxin responsive gene,-0.276987407492834,0.30115187116554,-0.388125919032636,0.0013026286975232,False,True
Os05g0563400,Auxin responsive gene,-0.165621687748714,0.777615246265468,-1.00613597173551,1.7872374234271102e-10,False,True
Os06g0335500,Auxin responsive gene,-0.361405766576968,0.169669196460368,-0.55069193233452,2.02626959819588e-05,False,True
Os03g0633800,Auxin responsive gene,-0.451112848676023,0.70319973284166,-1.59176599353768,9.81842209447114e-06,False,True
