GO_id,term,k,n,K,N,FoldEnrichment,pvalue,FDR
GO:0009058,biosynthetic process,23,6072,94,29909,1.2052304964539007,0.18843881873379967,0.3833755277687648
GO:0006139,nucleobase-containing compound metabolic process,10,6072,37,29909,1.3312769291030162,0.20398475941826769,0.4102875274662884
GO:0009690,cytokinin metabolic process,4,6072,12,29909,1.6419082125603865,0.21347069056924206,0.42454283405343646
GO:0008033,tRNA processing,6,6072,21,29909,1.407349896480331,0.2418030056644011,0.47554591113998884
GO:0006465,signal peptide processing,5,6072,17,29909,1.4487425404944587,0.2520687342131973,0.48077374263489053
GO:0006869,lipid transport,8,6072,30,29909,1.3135265700483092,0.2526099325708747,0.48077374263489053
GO:0030036,actin cytoskeleton organization,5,6072,17,29909,1.4487425404944587,0.2520687342131973,0.48077374263489053
GO:0006606,protein import into nucleus,4,6072,13,29909,1.5156075808249723,0.2619590011132754,0.49326322550052926
GO:0000272,polysaccharide catabolic process,6,6072,22,29909,1.3433794466403162,0.27956132170767733,0.520866883602725
GO:0006396,RNA processing,18,6072,78,29909,1.136705685618729,0.3118730558021733,0.5525933132202658
GO:0006221,pyrimidine nucleotide biosynthetic process,4,6072,14,29909,1.4073498964803315,0.31219961198885077,0.5525933132202658
GO:0048193,Golgi vesicle transport,4,6072,14,29909,1.4073498964803315,0.31219961198885077,0.5525933132202658
GO:0006259,DNA metabolic process,4,6072,14,29909,1.4073498964803315,0.31219961198885077,0.5525933132202658
GO:0000413,protein peptidyl-prolyl isomerization,7,6072,27,29909,1.2770397208803006,0.3004874322033067,0.5525933132202658
GO:0009627,systemic acquired resistance,3,6072,10,29909,1.4777173913043478,0.3313155172575021,0.5690987496299048
GO:1902600,proton transmembrane transport,12,6072,51,29909,1.158994032395567,0.3343857059972322,0.5690987496299048
GO:0006098,pentose-phosphate shunt,3,6072,10,29909,1.4777173913043478,0.3313155172575021,0.5690987496299048
GO:0010274,hydrotropism,3,6072,10,29909,1.4777173913043478,0.3313155172575021,0.5690987496299048
GO:0006508,proteolysis,75,6072,354,29909,1.0435857283222796,0.35901637283218113,0.6007468101011523
GO:0007275,multicellular organism development,4,6072,15,29909,1.3135265700483092,0.36316332588035755,0.6007468101011523
GO:0001510,RNA methylation,4,6072,15,29909,1.3135265700483092,0.36316332588035755,0.6007468101011523
GO:0006614,SRP-dependent cotranslational protein targeting to membrane,3,6072,12,29909,1.2314311594202898,0.45233294470253715,0.7212876685797214
GO:0000160,phosphorelay signal transduction system,7,6072,31,29909,1.112260402057036,0.445702766088101,0.7212876685797214
GO:0022900,electron transport chain,3,6072,12,29909,1.2314311594202898,0.45233294470253715,0.7212876685797214
GO:0006974,DNA damage response,3,6072,12,29909,1.2314311594202898,0.45233294470253715,0.7212876685797214
GO:0006644,phospholipid metabolic process,3,6072,13,29909,1.136705685618729,0.5094451277793155,0.8051052465798111
GO:0006511,ubiquitin-dependent protein catabolic process,14,6072,68,29909,1.014119778346121,0.5247497118090025,0.8219530884087916
GO:0072583,clathrin-dependent endocytosis,3,6072,14,29909,1.0555124223602483,0.5632393593585334,0.8594255741936243
GO:0009736,cytokinin-activated signaling pathway,4,6072,19,29909,1.0369946605644547,0.5580433510694562,0.8594255741936243
GO:0034440,lipid oxidation,3,6072,14,29909,1.0555124223602483,0.5632393593585334,0.8594255741936243
GO:0046856,phosphatidylinositol dephosphorylation,5,6072,25,29909,0.9851449275362318,0.5940609534776027,0.8987075962866297
GO:0032259,methylation,4,6072,20,29909,0.985144927536232,0.6016730277916906,0.9025095416875359
