GO_id,term,k,n,K,N,FoldEnrichment,pvalue,FDR
GO:0008299,isoprenoid biosynthetic process,1,713,24,29909,1.7478377746610565,0.4397044543505179,0.6700491747208677
GO:0044042,glucan metabolic process,1,713,23,29909,1.8238307213854503,0.42601060304800936,0.6700491747208677
GO:0019752,carboxylic acid metabolic process,1,713,26,29909,1.6133887150717445,0.46612116502321227,0.6700491747208677
GO:0016311,dephosphorylation,1,713,25,29909,1.6779242636746141,0.45307205428520336,0.6700491747208677
GO:0016226,iron-sulfur cluster assembly,1,713,22,29909,1.9067321178120615,0.4119825493006052,0.6700491747208677
GO:0051603,proteolysis involved in protein catabolic process,1,713,28,29909,1.4981466639951915,0.49129404984969305,0.6918222334618126
GO:0006099,tricarboxylic acid cycle,1,713,30,29909,1.3982702197288452,0.5152815957601746,0.711088602149041
GO:0030244,cellulose biosynthetic process,1,713,32,29909,1.3108783309957925,0.5381395432099783,0.7140697784901634
GO:0071805,potassium ion transmembrane transport,1,713,32,29909,1.3108783309957925,0.5381395432099783,0.7140697784901634
GO:0006139,nucleobase-containing compound metabolic process,1,713,37,29909,1.1337326105909558,0.5906849258933402,0.7690049035215184
GO:0006629,lipid metabolic process,3,713,131,29909,0.9606436624091303,0.6072090312210479,0.7758782065602278
GO:0016579,protein deubiquitination,1,713,44,29909,0.9533660589060308,0.654372293548368,0.7981088881669665
GO:0009733,response to auxin,1,713,42,29909,0.9987644426634608,0.6372596981446317,0.7981088881669665
GO:0009058,biosynthetic process,2,713,94,29909,0.8925129062099012,0.6593073423987984,0.7981088881669665
GO:1902600,proton transmembrane transport,1,713,51,29909,0.8225118939581443,0.708161937902263,0.8166135941537677
GO:0006351,DNA-templated transcription,2,713,99,29909,0.8474364968053608,0.686911296246784,0.8166135941537677
GO:0015031,protein transport,1,713,53,29909,0.7914737092804784,0.7219337571504323,0.8166135941537677
GO:0016567,protein ubiquitination,3,713,154,29909,0.8171709076337408,0.7138506530017847,0.8166135941537677
GO:0000398,"mRNA splicing, via spliceosome",1,713,65,29909,0.6453554860286977,0.7919554299362431,0.8813697526709803
GO:0006457,protein folding,1,713,99,29909,0.4237182484026804,0.9086095691246319,0.9419132851921732
GO:0016192,vesicle-mediated transport,1,713,99,29909,0.4237182484026804,0.9086095691246319,0.9419132851921732
GO:0006470,protein dephosphorylation,1,713,104,29909,0.40334717876793613,0.9190292159449787,0.9419132851921732
GO:0006281,DNA repair,1,713,98,29909,0.42804190399862607,0.9063701926309162,0.9419132851921732
GO:0006886,intracellular protein transport,1,713,109,29909,0.38484501460426934,0.9282623680154751,0.9419132851921732
GO:0007165,signal transduction,1,713,92,29909,0.4559576803463626,0.8917352531957288,0.9419132851921732
GO:0006412,translation,1,713,292,29909,0.14365789928721012,0.9991584086373856,0.9991584086373856
