locus,symbol,description,go_hits,Dharia_log2FC,Dharia_padj,Dharia_sig,PTT1_log2FC,PTT1_padj,PTT1_sig
Os01g0712800,,Hypothetical conserved gene.,GO:0006979;GO:0042744,3.17163555928875,0.143062927267951,False,1.44299307239298,0.173164593580327,False
Os01g0787000,prx19,Similar to Peroxidase (EC 1.11.1.7).,GO:0006979;GO:0042744,-0.253222100398934,0.666026229991515,False,-0.0389654907434076,0.881114247994271,False
Os01g0929100,,Conserved hypothetical protein.,GO:0006979,1.24833584730508,0.221589858584745,False,2.04417313649662,2.38384085319765e-05,True
Os01g0962700,OsPrx20,"Class III peroxidase 20, Positive regulation of osmotic stress tolerance, Negative regulation of blast resistance, Modulation of rice growth and panicle maturation",GO:0006979;GO:0042744,-1.47330488459612,0.0011934175856802,True,0.114643706573013,0.751004183361543,False
Os01g0962900,prx21,Similar to Cationic peroxidase SPC4 (Fragment).,GO:0006979,-1.84697743088274,,False,0.0,,False
Os01g0963000,PRX22,Similar to Peroxidase BP 1 precursor.,GO:0006979;GO:0042744,1.56141295658142,0.277612150625724,False,2.04152916119099,0.001838768818364,True
Os02g0115700,CatA,"Catalase A, Environmental stress response, Drought stress tolerance",GO:0006979,-0.271072384429945,0.658926646312103,False,-0.539135004295114,0.0074273931574848,True
Os02g0161800,PRX24,Similar to Peroxidase precursor (EC 1.11.1.7).,GO:0006979;GO:0042744,-0.992226142558526,0.873889690728105,False,-2.32943108134946,0.119856555042135,False
Os02g0236600,prx27,Peroxidase P7 (EC 1.11.1.7) (TP7).,GO:0006979;GO:0042744,-0.971081651489553,0.156288488173523,False,-2.45355051167643,2.57851506657293e-13,True
Os02g0236800,OsPrx26,"Peroxidase, Lignin biosynthesis, Disease resistance against the vascular pathogen Xoo",GO:0006979;GO:0042744,-0.178409016715019,0.92154275359966,False,-1.26295003894917,0.000175375086951,True
Os02g0237000,prx25,Similar to peroxidase 52.,GO:0006979;GO:0042744,0.241770513747828,,False,5.74284040022379,0.0569028800064258,False
Os02g0240100,OsPrx30,"Class III peroxidase, Mediation of ROS-induced blight resistance, Negative regulation of resistance to bacterial blight",GO:0006979;GO:0042744,-5.62463571530744,,False,-1.49773637960378,0.686240244328057,False
Os02g0240300,prx29,Similar to Class III peroxidase GvPx2b (Fragment).,GO:0006979;GO:0042744,,,False,,,False
Os02g0553200,APX8,"Thylakoid membrane-bound ascorbate peroxidase, Tolerance to bacterial blight, Response to NaCl",GO:0006979,2.78511892988213,9.887837140654741e-09,True,3.73858226288301,2.23159728482099e-29,True
Os02g0664000,OsGPX3,"Glutathione peroxidase 3, Hydrogen peroxide homeostasis, Root and shoot development, ABA regulatory pathway component",GO:0006979,-0.175967674852702,0.773938063313603,False,-0.240666440246231,0.182027463959549,False
Os02g0741200,prx31,Similar to Peroxidase 65 precursor (EC 1.11.1.7) (Atperox P65) (ATP43).,GO:0006979;GO:0042744,,,False,,,False
Os02g0833900,PRX32,Similar to Peroxidase 64 precursor (EC 1.11.1.7) (Atperox P64) (PRXR4) (ATP17a).,GO:0006979;GO:0042744,-0.641034665891439,0.585507470204569,False,-2.19382989126041,1.04657332747899e-07,True
Os03g0121200,prx33,Similar to Peroxidase 1.,GO:0006979;GO:0042744,-0.14860084506842,0.908111038644796,False,-1.3835982292889,3.99780495081863e-08,True
Os03g0121300,prx34,Similar to Peroxidase 1.,GO:0006979;GO:0042744,-0.180628087531197,0.961092333939201,False,-2.20438600945457,1.60318183121792e-05,True
Os03g0131200,CATC,"Catalase, Hydrogen peroxide-induced leaf cell death",GO:0006979,3.01532646429871,4.58846616347988e-06,True,5.70048079976704,1.5104196260781702e-39,True
Os03g0152300,prx36,Haem peroxidase family protein.,GO:0006979;GO:0042744,,,False,,,False
Os03g0234500,PRX37,"Haem peroxidase, plant/fungal/bacterial family protein.",GO:0006979;GO:0042744,1.68536760763578,,False,6.39250751470649,0.0073746912813863,True
Os03g0234900,PRX39,Similar to Peroxidase (EC 1.11.1.7).,GO:0006979;GO:0042744,-0.878671849912528,0.536817020063523,False,-3.24363766365805,5.38553282117648e-10,True
Os03g0235000,POXN,Similar to Peroxidase.,GO:0006979,0.297980823035192,0.762970159299022,False,0.0395384107830778,0.925917241447867,False
Os03g0285700,OsAPXa,"Cytosolic ascorbate peroxidase, Salt tolerance, Rice blast resistance",GO:0006979,-0.354480761836928,0.32685173200255,False,-1.07679707579894,4.07823699892021e-12,True
Os03g0339300,prx41,Hypothetical conserved gene.,GO:0006979,-0.494013995295483,0.746896555083869,False,-1.89898502969548,1.70923836613056e-05,True
Os03g0339400,PRX40,"Haem peroxidase, plant/fungal/bacterial family protein.",GO:0006979,-0.123218286647588,0.854909163685085,False,-0.61736553445,8.38637316664551e-05,True
Os03g0358100,OsPHGPX,"Phospholipid hydroperoxide glutathione peroxidase, Defense/stress response",GO:0006979,0.166793932610182,0.848407870527479,False,1.28573373343865,2.89239166400583e-10,True
Os03g0360700,OsMSRB5,"Methionine sulfoxide reductase B5, Seed vigor and longevity, Modulation of ROS homeostasis in seed",GO:0006979,-0.0091309598121477,1.0,False,-0.223187881041609,0.164139092911292,False
Os03g0368000,prx42,Similar to Peroxidase 1.,GO:0006979;GO:0042744,-1.16406857280992,0.124906923477511,False,-1.94810073210939,4.25221642668617e-07,True
Os03g0368300,prx43,Similar to Peroxidase 1.,GO:0006979;GO:0042744,-1.12346698601142,0.195709235179778,False,-1.90482521096072,5.15394248691092e-06,True
Os03g0368900,PRX45,Haem peroxidase family protein.,GO:0006979;GO:0042744,-0.948144917854778,0.0001952186477915,True,-1.32062578985076,3.01792398416639e-16,True
Os03g0369000,prx46,Similar to Peroxidase 1.,GO:0006979;GO:0042744,-0.108988715924471,0.971831882781435,False,-1.18557189107324,0.001478599562723,True
Os03g0369600,prx48,Similar to Class III peroxidase 48.,GO:0006979;GO:0042744,-2.04186632697876,0.022610298538749,False,-1.53877820266347,0.003366466496805,True
Os03g0434800,PRX2,Similar to Peroxidase 2.,GO:0006979;GO:0042744,,,False,,,False
Os03g0563600,prx49,Similar to Peroxidase 56 precursor (EC 1.11.1.7) (Atperox P56) (ATP33).,GO:0006979;GO:0042744,-0.409891302216851,0.787097090353145,False,-1.36891462527525,0.0008507124028955,True
Os03g0762300,,Similar to Peroxidase 51 precursor (EC 1.11.1.7) (Atperox P51) (ATP37).,GO:0006979;GO:0042744,0.843615381177765,0.126877413187729,False,1.79653100849212,9.319844049178779e-11,True
Os03g0762400,prx51,Similar to Peroxidase2 precursor (EC 1.11.1.7).,GO:0006979;GO:0042744,-0.334639814999245,0.77458513794343,False,-0.168734142138995,0.663848309626087,False
Os04g0134800,AM1,Similar to Class III peroxidase 53.,GO:0006979,,,False,,,False
Os04g0223300,APX3,Similar to Peroxisome type ascorbate peroxidase.,GO:0006979,-0.651434515331093,0.592909074794504,False,-2.58484487835575,9.49890416223761e-10,True
Os04g0423800,prx54,Peroxidase (EC 1.11.1.7).,GO:0006979;GO:0042744,-0.15696299394757,0.917437557729789,False,-1.46248135773518,2.40527795021892e-07,True
Os04g0434800,APX7,Similar to Thylakoid-bound ascorbate peroxidase (EC 1.11.1.11) (Fragment).,GO:0006979,-0.282559206847791,0.254894417975688,False,-0.202297948303984,0.0952720074182138,False
Os04g0465100,PRX55,"Haem peroxidase, plant/fungal/bacterial family protein.",GO:0006979;GO:0042744,-0.290236454189916,0.879886294923891,False,-1.44831393610845,0.0006844597403523,True
Os04g0473900,DWA1,"Megaenzyme-like protein, Drought resistance, Regulation of drought-induced cuticular wax deposition",GO:0006979,-0.32496908305186,0.847578214829889,False,-0.364117863146393,0.445170358780264,False
Os04g0498700,AGP,Haem peroxidase family protein.,GO:0006979;GO:0042744,0.0,,False,-5.41340374116679,,False
Os04g0556300,OsGPX1,"Glutathione peroxidase, Reponse to salt, cold and drought stress",GO:0006979,-0.437386150254636,0.167392490601584,False,-0.464483948971806,0.0033149431056816,True
Os04g0602100,,Plant ascorbate peroxidase domain containing protein.,GO:0006979,1.59304047378466,0.121301491005798,False,3.7113112707005,1.33545175747736e-12,True
Os04g0651000,prx57,Similar to Peroxidase.,GO:0006979;GO:0042744,1.21117107447244,0.662052792273546,False,2.14388220583414,0.0165948045869605,False
Os04g0656800,PRX58,Similar to Peroxidase precursor (EC 1.11.1.7).,GO:0006979;GO:0042744,-0.454877427960023,0.804098068947886,False,-2.17819577261679,4.78483639010727e-06,True
Os04g0683850,,Similar to Glutathione peroxidase.,GO:0006979,1.24332868205772,,False,2.61562367463275,0.401642476961007,False
Os04g0688100,prx59,Peroxidase (EC 1.11.1.7).,GO:0006979;GO:0042744,-0.236277699698733,0.808461576076456,False,-0.532348361042175,0.0424083771503013,False
Os04g0688200,prx60,Similar to Peroxidase (EC 1.11.1.7).,GO:0006979;GO:0042744,-0.763047938365939,0.789135319072214,False,-2.19428939258826,0.0046365268582045,True
Os04g0688300,prx61,"Haem peroxidase, plant/fungal/bacterial family protein.",GO:0006979;GO:0042744,0.725253667483941,0.0294679135801889,False,2.16391240741087,2.12903165431394e-40,True
Os04g0688500,prx62,Peroxidase (EC 1.11.1.7).,GO:0006979;GO:0042744,-1.48721580117095,,False,5.08118579174034,0.129039416668329,False
Os04g0688600,prx63,Peroxidase (EC 1.11.1.7).,GO:0006979;GO:0042744,0.590965592269209,0.776482864935318,False,1.57924477000129,0.00329551746607,True
Os04g0689000,prx64,Similar to Peroxidase (EC 1.11.1.7).,GO:0006979;GO:0042744,-0.714152228425939,0.773938063313603,False,-1.56533834471303,0.0258194795308641,False
Os05g0134400,PRX65,"Haem peroxidase, plant/fungal/bacterial family protein.",GO:0006979,-1.21986906142274,0.0201745869599808,False,-1.71332245696888,1.22954379234943e-08,True
Os05g0134700,prx66,Haem peroxidase family protein.,GO:0006979;GO:0042744,-0.700887647012326,0.26816666542056,False,-0.145010868495875,0.680483939308993,False
Os05g0134800,prx67,Haem peroxidase family protein.,GO:0006979;GO:0042744,-0.688587080979643,0.571389256091868,False,-2.3349191434247,5.5562337166778e-08,True
Os05g0135000,prx68,Haem peroxidase family protein.,GO:0006979;GO:0042744,-1.44496310857904,0.0769085009624617,False,-0.38297251717428,0.43993048226922,False
Os05g0135200,prx69,Plant peroxidase domain containing protein.,GO:0006979;GO:0042744,0.16400742132861,0.954427180866057,False,-1.65842883707846,0.0001168236180112,True
Os05g0135400,prx70,Plant peroxidase domain containing protein.,GO:0006979,0.633903156727492,0.14932896637164,False,1.98594087778017,1.34094514531066e-20,True
Os05g0135500,prx71,Haem peroxidase family protein.,GO:0006979;GO:0042744,-2.22751240998528,0.094274239160793,False,-3.15324182667158,5.9673692298392e-06,True
Os05g0162000,PRX72,Similar to Peroxidase (Fragment).,GO:0006979;GO:0042744,1.84980449918998,0.000116721255656,True,3.15151592309316,3.71557934117684e-25,True
Os05g0404200,MSRB3,Methionine sulphoxide reductase B domain containing protein.,GO:0006979,0.278968673323817,0.732720875635892,False,0.561744632406521,0.0226448209906511,False
Os05g0499300,POX1,Similar to Peroxidase (EC 1.11.1.7).,GO:0006979;GO:0042744,-0.4607629574801,0.665270743765813,False,-1.65374163996717,1.01069990051451e-06,True
Os05g0499400,prx75,Haem peroxidase family protein.,GO:0006979;GO:0042744,-0.966342444621235,0.267383632481167,False,-1.90049524440428,1.73252937095595e-06,True
Os06g0185900,GPX4,Similar to Glutathione peroxidase.,GO:0006979,1.17631607222425,0.10166146105354,False,1.79922696634943,1.48795603109261e-06,True
Os06g0237600,prx76,Haem peroxidase family protein.,GO:0006979;GO:0042744,4.47513195040962,,False,-1.87283532485774,0.686231529471263,False
Os06g0274800,PRX77,Similar to Peroxidase 11 precursor (EC 1.11.1.7) (Atperox P11) (ATP23a/ATP23b).,GO:0006979;GO:0042744,0.18617734241236,0.928957488337333,False,-0.167387716433167,0.718520478148297,False
Os06g0306300,prx78,Haem peroxidase domain containing protein.,GO:0006979;GO:0042744,-1.03265480226541,0.391901650641283,False,-1.94102693253761,0.0001119621120998,True
Os06g0472000,OsMSRB1.1,"Methionine sulfoxide reductase B1, Oxidative stress tolerance, Salt tolerance",GO:0006979,0.591294947009767,0.226160419679314,False,1.27305974301961,2.07660039090093e-08,True
Os06g0472900,prx79,Haem peroxidase family protein.,GO:0006979;GO:0042744,-3.77223350892704,,False,3.86482111277156,,False
Os06g0490400,prx80,Similar to Class III peroxidase 80.,GO:0006979;GO:0042744,0.0,1.0,False,-1.37527249866769,0.0088843480543104,True
Os06g0521200,prx85,Similar to peroxidase 52.,GO:0006979,1.68461069489019,,False,0.0,,False
Os06g0521400,prx84,Haem peroxidase family protein.,GO:0006979;GO:0042744,-4.52600864623977,,False,-3.04771428876651,0.324334056401663,False
Os06g0521500,PRX83,Haem peroxidase family protein.,GO:0006979;GO:0042744,0.0052394287749578,1.0,False,-0.404754935991917,0.462360278706771,False
Os06g0521900,PRX82,Plant peroxidase domain containing protein.,GO:0006979,-2.2876212522622,,False,-0.898628659518359,0.750544101944476,False
Os06g0522100,,Plant peroxidase domain containing protein.,GO:0006979,0.0,,False,-2.23551985516894,0.442255928208433,False
Os06g0522300,PRX81,Haem peroxidase family protein.,GO:0006979;GO:0042744,0.398779433035644,0.960225271321314,False,-0.812838361928961,0.535491986426031,False
Os06g0546500,PRX88,Similar to Class III peroxidase GvPx2b (Fragment).,GO:0006979;GO:0042744,-1.22796526496009,0.361366019557703,False,-2.6168663215831,5.19312711476566e-06,True
Os06g0547100,PRX87,Similar to peroxidase 52.,GO:0006979;GO:0042744,-0.952216059287982,0.754754595504867,False,-1.35036372984437,0.14509924221193,False
Os06g0547400,PRX86,Similar to Peroxidase P7 (EC 1.11.1.7) (TP7).,GO:0006979;GO:0042744,-0.824730775068333,0.341952423815993,False,-1.7309329962247,3.47001347790771e-06,True
Os06g0681600,PRX89,Haem peroxidase family protein.,GO:0006979;GO:0042744,-0.372297518814189,0.592103858022932,False,-0.977556170501033,5.42353059391502e-05,True
Os06g0695200,prx93,Similar to Peroxidase precursor (EC 1.11.1.7).,GO:0006979;GO:0042744,0.792646437717036,0.404206688045806,False,-2.85917670675702,1.74806671120778e-13,True
Os06g0695300,PRX92,"Haem peroxidase, plant/fungal/bacterial family protein.",GO:0006979;GO:0042744,0.505327966389323,0.682116676008077,False,-2.25469058637108,3.689275617922791e-09,True
Os06g0695400,prx91,Haem peroxidase family protein.,GO:0006979;GO:0042744,-0.729826019604625,0.78468836807587,False,0.467832052327016,0.586295597658412,False
Os06g0695500,prx90,Similar to Peroxidase 16 precursor (EC 1.11.1.7) (Atperox P16) (ATP22a).,GO:0006979;GO:0042744,-0.180070559609457,0.800523883100253,False,0.279803323005922,0.163640179101604,False
Os06g0727200,CatB,"Catalase B, Modulation of ROS levels related to root growth regulation, Control of H<sub>2</sub>O<sub>2</sub> accumulation under water stress, Required for pollen viability and floret fertility upon heat stress",GO:0006979,-0.0290084096191375,0.994082291518724,False,0.915610088474151,7.36776730503233e-07,True
Os07g0104100,prx97,Similar to Class III peroxidase 97.,GO:0006979,-0.77057369795833,0.499158010853267,False,-1.67422431967166,0.0001185619091178,True
Os07g0104233,,Similar to peroxidase 1.,GO:0006979,,,False,,,False
Os07g0104500,PRX95,"Haem peroxidase, plant/fungal/bacterial family protein.",GO:0006979;GO:0042744,-0.995531557880426,0.0308267959214964,False,-0.644823313895978,0.016555530055284,False
Os07g0115300,prx98,Similar to Peroxidase2 precursor (EC 1.11.1.7).,GO:0006979;GO:0042744,0.727645096417961,0.0440592822608675,False,-0.699789784672469,0.0005470655634619,True
Os07g0156200,prx99,"Haem peroxidase, plant/fungal/bacterial family protein.",GO:0006979;GO:0042744,,,False,,,False
Os07g0156467,,Similar to Class III peroxidase 7.,GO:0006979;GO:0042744,-2.02972646702974,,False,-3.6413045987128,0.181000057888273,False
Os07g0156910,,Similar to peroxidase 1.,GO:0006979,,,False,,,False
Os07g0157000,prx7,Similar to Class III peroxidase 7.,GO:0006979;GO:0042744,-1.96745821182393,,False,-3.6575034026433,0.173344694373663,False
Os07g0157600,,Similar to peroxidase 1.,GO:0006979;GO:0042744,,,False,,,False
Os07g0499500,PRX102,"Peroxidase, Regulation of root hair tip growth, Regulation of dense cytoplasmic streaming toward the tip",GO:0006979;GO:0042744,-2.34174425697825,7.28757718324553e-06,True,-3.8081045786434,1.56384980206718e-28,True
