transcript_id,DC1,DC2,DN1,DN2,PC1,PC2,PC3,PC4,PN3,PNC1,PNC2
Os03t0160600-01,503,603,321,188,44,74,56,154,208,345,169
Os03t0160200-01,25,36,36,15,92,97,87,73,3,26,56
Os03t0160200-02,10404,12281,8333,7768,13653,14448,11332,10179,4061,7014,6499
Os03t0160900-01,1774,1857,1306,1767,1778,1538,1426,1530,682,930,890
Os03t0161000-01,1745,1790,1647,1593,2400,2204,1681,1643,933,1642,1485
Os03t0161150-00,0,0,0,0,0,0,0,0,0,0,0
Os03t0161100-00,3799,4993,4380,5616,733,1174,1081,2225,2606,3240,3702
Os03t0161200-01,1218,1156,725,619,825,879,378,679,387,780,872
Os03t0161450-00,0,0,0,0,0,0,0,0,0,0,0
Os03t0161400-01,859,692,651,787,152,140,215,416,756,696,616
Os03t0161500-01,262,243,184,250,490,430,518,359,98,233,140
Os03t0161600-01,246,246,246,349,37,91,87,168,45,191,158
Os03t0161950-00,91,88,34,51,404,299,198,114,43,52,55
Os03t0161900-03,283,0,0,0,0,19,0,0,0,0,0
Os03t0161900-02,14,0,0,0,0,0,0,0,75,0,0
Os03t0161900-01,1664,1357,279,434,559,712,287,351,88,211,165
Os03t0162000-01,590,758,560,452,947,874,730,568,235,359,294
Os03t0161800-01,13851,23332,14757,10483,36891,33959,26829,37842,18244,23738,22025
Os03t0162200-01,2454,2783,2044,2479,584,724,1169,2344,2619,4342,4714
Os03t0162800-02,0,33,0,0,0,0,0,0,0,0,44
Os03t0162800-03,13,1,9,0,0,0,13,14,24,11,11
Os03t0162800-01,23,2,23,12,11,0,25,9,55,74,17
Os03t0162400-01,599,425,627,519,258,281,210,467,97,436,518
Os03t0162500-01,1434,1249,1003,1334,499,587,402,956,957,1429,1474
Os03t0162900-01,275,220,316,299,197,195,79,206,92,221,253
Os03t0163000-01,685,384,422,635,283,323,332,529,408,484,556
Os03t0163100-01,1696,1801,1402,1467,2122,2123,1685,1647,925,1150,1409
Os03t0163200-01,489,785,413,403,1225,1476,1430,1247,569,630,401
Os03t0163500-02,0,0,0,0,0,0,0,0,0,0,0
Os03t0163500-01,7,5,13,21,12,5,3,10,3,0,3
Os03t0164300-01,44,119,58,87,226,314,271,572,151,319,212
Os03t0163300-01,1661,1576,1325,1530,1654,1620,1243,2356,1079,1695,1657
Os03t0164700-01,1191,1425,1198,1234,1051,1022,848,1343,846,1127,1217
Os03t0165050-00,133,216,78,95,147,80,113,81,120,177,110
Os03t0165100-00,300,461,301,315,223,333,228,198,58,180,176
Os03t0164800-00,387,561,382,392,229,199,190,332,421,642,484
Os03t0164901-00,45,22,76,48,9,20,22,17,16,49,51
Os03t0165000-01,1144,1453,764,924,984,1030,770,801,409,690,685
Os03t0165266-01,11,32,10,9,52,57,69,93,42,49,6
Os03t0165300-01,3069,2775,2909,2388,3287,3252,2844,3680,1725,2044,2687
Os03t0165400-01,4345,3728,3192,3946,838,1008,1289,2238,2849,4075,4476
Os03t0165800-01,12,0,0,10,0,0,0,3,0,14,4
Os03t0165900-01,47,24,12,24,0,0,0,0,12,12,42
Os03t0165600-01,5165,5510,4063,3725,7369,7966,6665,5589,3512,5442,4739
Os03t0166200-00,13,14,0,0,25,26,11,0,0,0,0
Os03t0166600-01,6,1,0,0,6,9,15,11,0,9,0
Os03t0166000-01,4356,4412,3988,5076,1334,1591,1531,3455,4228,4680,5539
Os03t0167000-01,73,89,58,107,0,0,6,5,0,0,17
Os03t0166800-01,3293,3978,3009,2942,3505,3495,2787,3043,2323,4134,3713
Os03t0167302-00,0,0,8,27,9,9,5,0,0,14,0
Os03t0167100-00,973,960,1002,1092,495,494,579,725,1026,1442,1097
Os03t0167200-01,507,638,203,436,419,493,422,385,107,323,245
Os03t0167450-00,0,0,0,0,0,2,0,0,0,0,0
Os03t0167400-00,818,854,701,710,501,523,586,670,508,705,706
Os03t0167500-02,3061,2817,2386,2352,3137,3215,2732,2849,1540,1804,2150
Os03t0167500-01,395,199,252,234,181,180,216,325,122,181,78
Os03t0167550-01,26,38,48,5,148,124,73,15,15,31,15
Os03t0167800-01,682,581,593,583,592,577,476,776,395,625,611
Os03t0168000-01,172,227,200,214,456,347,542,192,125,220,265
Os03t0168100-01,4,16,0,0,52,25,51,93,0,0,0
Os03t0167650-00,0,0,0,0,0,0,0,0,0,0,0
Os03t0167775-00,0,4,0,3,4,2,6,8,0,4,6
Os03t0167600-01,17,18,0,0,13,8,40,8,6,27,0
Os03t0167700-01,8882,9102,7282,7863,6281,6285,5757,6550,4130,6013,6133
Os03t0167700-02,14,20,11,5,24,45,26,2,3,8,6
Os03t0168200-01,262,314,142,143,1124,1010,1186,835,307,398,382
Os03t0168300-01,355,231,479,314,462,447,352,412,97,169,273
Os03t0168550-00,85,31,54,14,48,44,46,25,4,52,35
Os03t0168600-01,19,0,23,29,28,31,51,40,42,33,60
Os03t0168650-00,5,0,0,0,4,6,0,0,33,0,2
Os03t0168400-02,361,546,446,365,818,780,627,283,19,139,211
Os03t0168400-01,663,932,741,568,897,988,871,595,443,526,412
Os03t0168500-00,10,16,23,20,33,23,16,21,6,0,7
Os03t0168800-00,0,0,0,0,0,0,0,0,0,0,0
Os03t0168700-00,180,253,182,276,56,81,68,193,185,262,319
Os03t0168900-01,4259,4119,3695,4127,2203,2205,2612,3132,3526,4169,4274
Os03t0169300-01,62,86,57,74,85,67,83,53,80,117,106
Os03t0169400-01,88,145,91,37,101,143,94,107,65,89,94
Os03t0169500-01,605,785,611,630,471,459,246,340,554,406,703
Os03t0169550-00,9,13,4,3,7,7,6,15,0,24,13
Os03t0169000-02,134,131,40,75,261,225,191,285,110,70,37
Os03t0169100-01,7147,6438,2694,3187,9122,8120,4721,12754,2035,2894,2683
Os03t0169000-01,542,431,450,520,597,503,403,351,478,548,499
Os03t0169900-01,625,600,797,769,603,680,661,732,670,616,759
Os03t0169600-01,1375,1285,587,628,2301,2121,1679,1397,213,406,289
Os03t0169700-01,233,177,188,102,177,283,140,122,129,13,181
Os03t0169800-01,880,747,502,829,1322,1345,1227,1991,553,1189,930
Os03t0170100-00,295,228,187,331,170,59,100,126,220,355,299
Os03t0170200-02,341,494,389,551,59,27,32,17,14,20,0
Os03t0170200-01,344,427,377,248,0,0,0,0,0,0,9
Os03t0170300-01,665,641,651,646,459,483,482,630,451,633,723
Os03t0170500-00,287,173,54,67,213,261,142,477,51,195,120
Os03t0170800-00,29,13,34,28,7,8,10,25,47,118,131
Os03t0170600-01,462,523,510,1005,102,129,164,377,647,451,734
Os03t0170701-00,305,223,234,480,42,61,52,174,115,132,237
Os03t0170900-01,391,369,140,106,336,402,314,220,156,222,199
Os03t0170400-01,7278,8197,6840,5680,10868,11778,9915,8754,4338,6632,7421
Os03t0170400-02,4376,5211,3089,3298,5024,4268,3655,3155,3591,4191,2701
Os03t0171300-01,1135,1039,699,1427,45,51,59,402,1161,911,1110
Os03t0171700-01,97,69,52,92,34,69,52,136,165,184,111
Os03t0171600-01,6219,6813,6666,7530,6781,6125,6190,6705,4655,4504,7251
Os03t0171600-02,3089,1478,1965,1728,927,810,979,2596,2760,3944,2015
Os03t0171950-00,0,0,0,0,0,0,0,0,0,3,0
Os03t0171900-01,1363,946,889,1145,821,479,523,862,2474,2127,2505
Os03t0172700-01,35,18,30,55,0,0,7,0,0,5,8
Os03t0172100-01,578,525,603,689,105,61,95,219,413,690,738
Os03t0172850-00,95,101,151,216,86,145,139,163,94,175,172
Os03t0172000-01,5321,5242,4305,4121,4887,5628,4072,4212,2469,3250,3455
Os03t0173500-01,1,0,114,0,219,3,194,5,2,0,2
Os03t0173500-02,435,592,595,352,2066,2545,1465,1500,585,772,612
Os03t0173700-01,105,79,75,118,154,125,107,82,24,34,29
Os03t0173900-01,1007,1092,903,1135,287,363,269,486,876,964,990
Os03t0174100-01,3491,3333,2688,3378,2918,2812,3068,3753,2932,3803,3639
Os03t0174200-01,1473,1441,1032,1507,207,261,509,855,1350,2049,1953
Os03t0174300-02,1297,1459,739,957,1032,1140,863,920,505,901,939
Os03t0174300-01,118,28,351,180,69,33,99,131,195,156,162
Os03t0182700-02,7249,8272,6088,7673,6674,6045,7115,7907,7764,9575,8670
Os03t0182900-01,1568,2110,391,380,1096,796,609,168,56,160,186
Os03t0182800-01,11117,12587,1611,2406,10146,9159,10397,3620,432,1202,1152
Os03t0183100-02,922,2664,790,316,4597,4467,3117,926,337,519,571
